,0,1,2,3
0,51.78,59.87,8.089999999999996,0.1562379297025878
1,10.14,7.87,-2.2700000000000005,-0.2238658777120316
2,34.3,37.36,3.0600000000000023,0.08921282798833827
3,4.81,3.95,-0.8599999999999994,-0.1787941787941787
4,4.98,4.56,-0.4200000000000008,-0.08433734939759052
5,5.0,5.03,0.03000000000000025,0.0060000000000000496
6,4.98,4.69,-0.29000000000000004,-0.05823293172690763
7,6.94,6.6,-0.34000000000000075,-0.04899135446685889
8,34.83,33.27,-1.5599999999999952,-0.04478897502153303
9,41.05,39.0,-2.049999999999997,-0.04993909866017046
10,37.7,38.45,0.75,0.01989389920424403
11,47.02,54.01,6.989999999999995,0.14866014461931082
12,22.97,23.41,0.4400000000000013,0.019155420113191175
13,14.97,16.94,1.9700000000000006,0.13159652638610558
14,86.68,64.99,-21.690000000000012,-0.2502307337332719
15,5.42,5.47,0.04999999999999982,0.009225092250922476
16,14.08,13.4,-0.6799999999999997,-0.04829545454545452
17,35.66,33.28,-2.3799999999999955,-0.06674144699943903
18,3.87,3.68,-0.18999999999999995,-0.04909560723514211
19,21.38,20.08,-1.3000000000000007,-0.06080449017773624
20,16.1,15.01,-1.0900000000000016,-0.06770186335403736
21,68.88,76.0,7.1200000000000045,0.10336817653890831
22,7.88,8.23,0.35000000000000053,0.044416243654822406
23,5.29,5.06,-0.23000000000000043,-0.0434782608695653
24,3.4,3.74,0.3400000000000003,0.10000000000000009
25,26.35,25.3,-1.0500000000000007,-0.03984819734345354
26,15.5,14.48,-1.0199999999999996,-0.0658064516129032
27,4.0,3.52,-0.48,-0.12
28,70.15,84.35,14.199999999999989,0.2024233784746969
29,0.84,0.83,-0.010000000000000009,-0.011904761904761916
30,68.5,63.95,-4.549999999999997,-0.06642335766423353
31,20.7,18.6,-2.099999999999998,-0.10144927536231874
32,29.9,30.95,1.0500000000000007,0.035117056856187316
33,3.15,3.0,-0.1499999999999999,-0.047619047619047596
34,9.26,7.48,-1.7799999999999994,-0.19222462203023752
35,90.58,103.33,12.75,0.14075954956944137
36,16.27,15.15,-1.1199999999999992,-0.06883835279655803
37,11.16,10.6,-0.5600000000000005,-0.050179211469534094
38,2.39,2.19,-0.20000000000000018,-0.0836820083682009
39,4.35,3.88,-0.46999999999999975,-0.10804597701149421
40,2.2,2.2,0.0,0.0
41,6.92,6.2,-0.7199999999999998,-0.10404624277456644
42,1005.0,498.0,-507.0,-0.5044776119402985
